name,city,country,my_rating,comment,dates_stayed
Once Again Hostel,Bangkok,Thailand,4.0,Very clean and tidy but quite quiet. Location was good to explore the old town and popular sites.,31/03/25 - 03/04/25
The Yard Hostel ,Bangkok,Thailand,4.0,"Cute hostel, very green and comfy beds. Very social and in a cool neighbourhood. Free yoga was very much harder than anticipated!",03/04/25 - 05/04/25
Island Yoga,Ko Yao Noi,Thailand,5.0,"Stayed in 3 bed female dorms, resort was paradise",05/04/25 - 09/04/25
Mudka Hostel,Ko Yao Noi,Thailand,4.0,"Lovely cute hostel, although quite basic",07/04/25 - 09/04/25
Theppahrak Hostel,Khao Lak,Thailand,3.0,"Average hostel, not social",09/04/25 - 11/04/25
Manta Queen 3,Similan Islands,Thailand,5.0,I had my own room!,11/04/25 - 14/04/25
Raksuan Homestay,Khao Lak,Thailand,5.0,"So peaceful, listened to the rain & chilled.",15/04/25 - 16/04/25
Young Money Hostel,Surat Thani,Thailand,3.0,Was fine ...,16/04/25 - 17/04/25
The lodge Bangkok,Bangkok,Thailand,4.0,"Nice, quite quiet, only two other people there",17/04/25 - 18/04/25
Jahoo Camp,Mondulkiri Province,Cambodia,4.0,"Amazing staff, beautiful nature. Alot of bugs",25/04/25 - 26/04/25
Pida Coffee Farm,Mondulkiri Province,Cambodia,5.0,"So beautiful, room has a balcony with a view over the jungle!",26/04/25 - 28/04/25
Sorya Guesthouse & Dolphin Tours,Kratie,Cambodia,4.0,Restaurant / cafe had a lovely sunset view,28/04/25 - 29/04/25
Pomelo Homestay,Kaoh Trong,Cambodia,4.0,"Very traditional homestay, bucket shower & squat loo but all very beautiful",29/04/25 - 30/04/25
Onederz,Phnom Penh,Cambodia,3.0,"Nice enough, busy pool, laundry done!",30/04/25 - 03/05/25
Twizt Hostel & Hotel ,Siem Reap,Cambodia,4.0,"Nice location, great price. Felt much more like a hotel. Had a rooftop pool/bar. Toilets were far away & I did hear creatures in the ceiling.",19/04/25 - 24/04/25
Manel Guesthouse,Mondulkiri Province,Cambodia,3.0,Lovely owners/family. Basic accom,24/04/25 - 25/04/25
Triple Hostel,Ho Chi Min City,Vietnam,2.0,Nice location & decent bed but not enough toilets,03/05/25 - 05/05/25
May house dalat,Da Lat,Vietnam,3.0,Really nice family but a tad expensive,06/05/25 - 07/05/25
Pisces Hotel,Hue,Vietnam,4.0,Pretty and comfy ,08/05/25 - 10/05/25
Ancient Town Hotel,Hoi An,Vietnam,3.0,Fab location,10/05/25 - 13/05/25
Seaside bungalow hostel ,Hoi An,Vietnam,5.0,I loved the place and the people,13/05/25 - 16/05/25 & 18/05/25 - 20/05/25
Hiep Tung Homestay,Cham Isles,Vietnam,3.0,"Cheap and basic, nice family",16-05-25 - 18-05-25
Rom Casa Hostel,Da Nang,Vietnam,3.0,Nice beds but too party,20/05/25 - 22/05/25
Central Backpackers,Phong Nha,Vietnam,3.0,"Okay, busy but I met some nice people",22/05/25 - 24/05/25
Nha Tan Homestay & tours,Mau Chau,Vietnam,3.0,"Very beautiful location, nice family!",25/05/25 - 28/05/25
Valley Hotel & Travel,Hanoi,Vietnam,1.0,Awful ...,28/05/25 - 29/05/25
Shinning Central Hotel & Spa,Hanoi,Vietnam,4.0,Sadly pool was shut,29/05/25 - 31/05/25
D&D Eco SAPA,Sapa,Vietnam,5.0,Lovely staff & cute dogs,31/05/25 - 04/06/25
The Garden Hotel II,Ha Giang,Vietnam,3.0,,04/06/25
Bibis Ha Giang Loop ,Ha Giang,Vietnam,6.0,"Amazing views, lovely people, good food and accom",05/06/25 - 08/06/25
Tam Coc Green Garden Bungalow,Ninh Binh,Vietnam,4.0,"Cute, friendly & quiet",08/06/25 - 12/06/25
Dragon Legend Luxury Cruise,Bai Tu Long Bay,Vietnam,5.0,Beautiful ship,12/06/25 - 13/06/25
San Palace Hotel,Hanoi,Vietnam,5.0,"Close to train street, roof top pool & bar!",13/06/25 - 16/06/25
The Namkhan,Luang Prabang,Laos,5.0,4 Nights in luxury ,16/06/25 - 20/06/25
Golden Sun boutique hotel,Luang Prabang,Laos,3.0,good location!,20/06/25 - 21/06/25
Mekong Riverside Lodge,Pakbeng,Laos,3.0,"Nice view from my balcony over the river! Basic room, comfy and clean.",21/06/25 - 23/06/25
Thadan Guesthouse,Huay Xai,Laos,3.0,"room was clean & comfy, staff a little unfriendly",23/06/25 -24/06/25
Mercy Hostel,Chiang Rai,Thailand,4.0,"6 bed female dorm, nice hostel with a samll gym & shallow pool. Very quiet but met some nice girls in the room.",24/06/25 - 25/06/25
Family home 2,Chiang Mai ,Thailand,3.0,Hostel was fine... a little too boyish,25/06/25 - 27/06/25
Lullaby Hostel,Chiang Mai,Thailand,4.0,"Nice hostel, quiet but fairly social",27/06/25 - 29/06/25
The Robertson Bukit Bintang Luxe Suites,Kuala Lumpur,Malaysia,4.0,Swimming pool!,29/06/25 - 04/07/25
Chuan Heang Room - Armenian stree Air bnb,George Town,Malaysia,4.0,Fab location and lovely interior,04/07/25 - 08/07/25
"Tanjung Rhu Villas, the Bohimian",Langkawi,Malaysia,3.0,Cute place! Slightly impractical layout - steep stairs. Fab location!,08/07/25 - 13/07/25
Bangau - capsual hostel,Kuala Lumpur,Malaysia,2.0,Spenny for what it was but convienient,13/07/25 - 14/07/25
Lavendar Lodge,Kota Kinabalu,Malaysia,3.0,"Private room, was basic but okay",14/07/25 - 15/-7/25 & 21/07/25 - 22/07/25 & 25/07/12 - 29/07/25
Kiau Village Homestay,Kiau Village,Malaysia,3.0,Basic but lovely host!,15/07/25 - 16/07/25
Sepilok Forest Edge Resort,Sepilok,Malaysia,4.0,,16/07/25 - 17/07/25
Tanini Lodge ,Kinabatangan,Malaysia,3.0,,17/07/25 - 19/07/25
Danum Valley Field Center,Danum Valley,Malaysia,3.0,Twin room - Hot!,19/07/25 - 21/07/25
Mulu HQ Hostel ,Mulu National Park,Malaysia,3.0,Nice and Quiet & a fab location in the park,22/07/25 - 25/07/25
Jirran Hostel,Kota Kinabalu,Malaysia,3.0,"Not bad, would have been a good place to stay if I wasnt ill",29/07/25 - 01/08/25
K avenue apartments,Kota Kinabalu,Malaysia,2.0,Fine but the bathroom stunk,01/08/25 - 05/08/25
Surg wg,Canggu,Indonesia,4.0,Nice dorms!!,05/08/25 - 10/08/25
Sunshine Village House ,Ubud,Indonesia,5.0,One of the nicest hostels Ive stayed at,10/08/25 - 13/08/25
Bubus hoestay tulumben,Tulamben,Indonesia,4.0,Dive hostel - comfy beds,13/08/25 - 17/08/25
Hotel Suma,Lovina,Indonesia,4.0,"Cute hotel, found on airbnb",17/08/25 - 20/08/25
In da Lodge,Ubud,Indonesia,4.0,Basic but nice,20/08/25 - 22/08/25
Bajo bunkhouse,Labuan Bajo,Indonesia,3.0,Basic and not social,22/08/25 - 25/08/25
Wunderpus Liveaboard - Mimic,Komodo National Park,Indonesia,5.0,"Small boat, slept under the stars, gorgeous",25/08/25 - 28/08/25
Golo Hilltop Hotel,Labuan Bajo,Indonesia,4.0,Lovely view,28/08/25 - 30/08/25
Green Haven Homestay,Tetebatu Lombok,Indonesia,4.0,Lovely people & Nice location near Rinjani,30/08/25 - 01/09/25
Mana Eco Retreat ,Kuta Lombok,Indonesia,5.0,"Lovely hostel / retreat with yoga all day and a pool, restaurant was incredible",01/09/25 - 07/09/25
Tipsea Turtle,Gili Air,Indonesia,4.0,"Free yoga, activities everyday, chill but a little spenny for the quality of the accom",07/09/25 - 10/09/25
Meno Madia bungalow,Gili Meno,Indonesia,4.0,Lovely staff and cute bungalow,10/09/25 - 11/09/25
Captain Coconuts,Gili Air,Indonesia,4.0,Hanging beds in a bamboo tree house,11/09/25 - 14/09/25
Blue Corner Dive Center,Nusa Lembongan,Indonesia,3.0,basic room but v affordable,14/09/25 - 18/09/25
Karma backpackers,Uluwatu,Indonesia,4.0,,18/09/25 - 20/09/25
Dream Lodge @ Farrer Park,Singapore,Singapore,4.0,,20/09/25 - 23/09/25
